Año,Mes,Feminicidios,Homicidio doloso,Lesiones dolosas,Corrupción de menores,Violencia familiar,Violencia de género en todas su modalidades,Violación,Llamadas de emergencia relacionadas con incidentes de violencia contra la mujer,Llamadas de emergencia relacionadas con incidentes de abuso sexual,Llamadas de emergencia relacionadas con incidentes de acoso u hostigamiento sexual,Llamadas de emergencia relacionadas con incidentes de violación,Llamadas de emergencia relacionadas con incidentes de violencia familiar
2015,Enero,32,117,4528,85,7721,108,933,,,,,
2015,Febrero,30,139,4625,90,8223,109,929,,,,,
2015,Marzo,31,118,5123,103,9705,150,1080,,,,,
2015,Abril,35,104,5533,95,10452,187,1055,,,,,
2015,Mayo,28,150,6013,91,11148,126,1201,,,,,
2015,Junio,27,129,5684,118,11431,141,1090,,,,,
2015,Julio,33,164,5287,84,11279,99,1093,,,,,
2015,Agosto,39,155,5458,78,11907,149,1097,,,,,
2015,Septiembre,42,160,5653,107,11873,143,1044,,,,,
2015,Octubre,46,191,5849,130,12118,145,1103,,,,,
2015,Noviembre,29,154,5102,77,11521,151,1063,,,,,
2015,Diciembre,39,154,4868,70,10046,137,931,,,,,
2016,Enero,38,145,4261,84,9957,102,908,3898,237,177,269,52896
2016,Febrero,47,139,4902,87,11835,152,1061,5846,250,212,256,49911
2016,Marzo,68,166,5248,92,12549,168,1095,6626,273,194,276,59682
2016,Abril,55,167,5777,122,14141,172,1221,8032,343,277,357,63215
2016,Mayo,51,174,6226,110,15277,161,1275,8301,373,322,316,65884
2016,Junio,57,190,5374,104,14725,149,175,8026,384,316,315,65259
2016,Julio,43,199,4204,68,13115,160,1181,8857,334,309,334,64448
2016,Agosto,44,214,4312,81,13124,171,1204,12034,337,308,575,63117
2016,Septiembre,53,210,5733,84,13381,211,1191,7039,309,214,327,62101
2016,Octubre,46,191,6044,109,12268,140,1170,7955,421,309,343,62066
2016,Noviembre,57,192,5378,82,11647,138,1059,7394,325,277,288,52811
2016,Diciembre,46,204,5389,76,11874,169,999,8596,339,264,273,60381
2017,Enero,49,149,4487,79,11885,190,996,7787,256,248,289,54952
2017,Febrero,64,163,4180,83,12217,168,977,6831,229,350,280,48473
2017,Marzo,61,194,5157,130,14286,226,1292,7816,294,331,305,48518
2017,Abril,61,216,5690,96,13591,158,1046,9636,337,361,317,64884
2017,Mayo,69,208,6107,118,15770,164,1241,10287,339,458,354,67451
2017,Junio,74,246,6913,106,16032,167,1305,8999,366,414,278,61436
2017,Julio,70,221,5094,115,14322,165,1139,8476,358,375,327,61088
2017,Agosto,68,243,6513,90,15997,193,1250,8973,355,402,273,60419
2017,Septiembre,56,216,5365,108,14767,197,1154,9236,334,381,332,56927
2017,Octubre,59,219,6763,104,15225,195,1218,9600,361,399,288,56814
2017,Noviembre,57,235,6153,87,13761,154,1019,9706,316,401,288,53347
2017,Diciembre,54,225,4302,70,11736,165,883,9418,252,295,245,55576
2018,Enero,67,211,4025,74,12721,199,983,11843,282,386,260,47289
2018,Febrero,66,197,4464,89,13452,177,1136,11958,349,377,227,45302
2018,Marzo,68,236,5336,96,16112,194,1246,17004,405,503,286,56553
2018,Abril,76,217,5321,124,16278,209,1360,14702,408,504,299,53813
2018,Mayo,63,248,5914,112,17663,212,1465,15159,491,558,338,58065
2018,Junio,76,233,5791,103,16409,194,1380,14131,457,530,316,57151
2018,Julio,84,222,5544,96,16188,163,1307,15046,483,564,407,59943
2018,Agosto,65,247,5348,106,15630,216,1379,14344,524,619,332,55916
2018,Septiembre,76,257,5329,92,15189,207,1357,15688,511,563,330,58033
2018,Octubre,85,220,5572,132,15354,190,1416,14342,447,555,327,52746
2018,Noviembre,68,217,4655,79,13017,146,1232,13176,357,504,264,49167
2018,Diciembre,98,259,4658,72,12174,148,1061,14817,364,395,268,53962
2019,Enero,69,229,4781,92,13962,245,1196,12579,364,467,265,49796
2019,Febrero,67,204,4926,120,14933,246,1309,14028,380,595,265,48792
2019,Marzo,76,229,5997,156,16994,203,1457,16289,425,610,341,56590
2019,Abril,66,248,5770,134,17631,437,1426,15084,419,577,320,61508
2019,Mayo,79,247,6513,115,20373,263,1670,18904,507,662,387,67001
2019,Junio,75,237,6104,142,18816,304,1554,16114,493,674,318,68665
2019,Julio,87,241,5540,136,19235,236,1482,15370,465,637,340,64726
2019,Agosto,93,249,5504,123,19373,292,1511,16849,548,741,349,67396
2019,Septiembre,88,260,5498,126,18287,301,1525,18286,474,741,358,62325
2019,Octubre,68,225,5785,133,18796,320,1610,17922,468,658,329,57039
2019,Noviembre,80,249,5088,127,15789,253,1379,17640,426,554,301,54846
2019,Diciembre,89,256,4808,87,15969,280,1211,21628,378,554,301,59335
2020,Enero,75,259,4597,117,15851,209,1283,19183,387,535,269,52498
2020,Febrero,92,220,5350,156,17802,273,1547,21727,466,791,323,52858
2020,Marzo,78,257,5423,168,20504,331,1611,26171,545,1017,395,64858
2020,Abril,71,265,4165,92,15237,345,1046,21722,350,506,304,60543
2020,Mayo,67,233,3936,111,16062,301,1124,19975,416,654,286,59824
2020,Junio,94,210,4636,115,18882,341,1276,22446,431,624,261,61945
2020,Julio,74,235,4926,97,19603,371,1380,23386,431,650,342,60386
2020,Agosto,76,223,4959,130,19843,370,1432,23421,469,752,304,60823
2020,Septiembre,78,248,5115,120,20088,400,1539,21943,415,782,301,57265
2020,Octubre,72,234,5172,149,20590,394,1629,21349,415,811,286,55834
2020,Noviembre,,,,,,,,,,,,
2020,Diciembre,,,,,,,,,,,,
